code,name,settlement_month,required_shares,yuutai_value,yuutai_content
7552,ハピネット,3,100,1000,
8281,ゼビオホールディングス,3,100,1000,
7522,ワタミ,3,100,1000,
8473,ＳＢＩホールディングス,3,100,2000,
165A,,3,1000,2000,
165A,,3,+4000,8000,
3924,ランドコンピュータ,3,100,2000,
3992,ニーズウェル,3,1000,15000,
4053,,3,+1000,20000,
4053,,3,2000,20000,
6096,レアジョブ,3,100,2000,
6569,,3,1000,10000,
6569,,3,+1000,15000,
7087,ウイルテック,3,700,10000,
7769,リズム,3,100,15000,
8051,山善,3,100,3000,
8739,スパークス・グループ,3,1500,12000,
9536,西部ガスホールディングス,3,200,3000,
9536,西部ガスホールディングス,3,+200,3000,
9553,マイクロアド,3,800,7000,
9882,イエローハット,3,100,2000,
