period,amount,is_forecast
2014/3 実,8.5,False
2014/9 実,8.5,False
2015/3 実,8.5,False
2015/9 実,10.0,False
2016/3 実,10.0,False
2016/9 実,10.0,False
2017/3 実,10.0,False
2017/9 実,10.0,False
2018/3 実,10.0,False
2018/9 実,10.0,False
2019/3 実,18.0,False
2019/9 実,18.0,False
2020/3 実,18.0,False
2020/9 実,30.0,False
2021/3 実,24.0,False
2021/9 実,36.0,False
2022/3 実,30.0,False
2022/9 実,35.0,False
2023/3 実,32.0,False
2023/9 実,51.0,False
2024/3 実,40.0,False
2024/9 実,55.0,False
2025/3 実,42.0,False
2025/9 実,63.0,False
2026/3 予,10.0,True
2026/9 予,11.2,True
