period,amount,is_forecast
2013/9 実,3.0,False
2014/3 実,7.0,False
2014/9 実,4.0,False
2015/3 実,8.0,False
2015/9 実,4.0,False
2016/3 実,8.0,False
2016/9 実,4.0,False
2017/3 実,8.0,False
2017/9 実,4.0,False
2018/3 実,10.0,False
2018/9 実,6.0,False
2019/3 実,8.0,False
2019/9 実,6.0,False
2020/3 実,4.0,False
2021/3 実,0.0,False
2022/3 実,12.0,False
2022/9 実,4.0,False
2023/3 実,20.0,False
2023/9 実,8.0,False
2024/3 実,18.0,False
2024/9 実,14.0,False
2025/3 実,24.0,False
2025/9 実,14.0,False
2026/3 予,26.0,True
