period,amount,is_forecast
2013/9 実,29.0,False
2014/3 実,29.0,False
2014/9 実,29.0,False
2015/3 実,29.0,False
2015/9 実,29.0,False
2016/3 実,29.0,False
2016/9 実,29.0,False
2017/3 実,29.0,False
2017/9 実,36.0,False
2018/3 実,48.0,False
2018/9 実,51.0,False
2019/3 実,59.0,False
2019/9 実,55.0,False
2020/3 実,39.0,False
2020/9 実,18.0,False
2021/3 実,37.0,False
2021/9 実,40.0,False
2022/3 実,56.0,False
2022/9 実,64.0,False
2023/3 実,75.0,False
2023/9 実,72.0,False
2024/3 実,95.0,False
2024/9 予,83.0,True
2025/3 実,107.0,False
2025/9 予,95.0,True
2026/3 予,95.0,True
