period,amount,is_forecast
2013/9 実,20.0,False
2014/3 実,47.0,False
2014/9 実,20.0,False
2015/3 実,58.0,False
2015/9 実,20.0,False
2016/3 実,58.0,False
2016/9 実,20.0,False
2017/3 実,58.0,False
2017/9 実,20.0,False
2018/3 実,58.0,False
2018/9 実,20.0,False
2019/3 実,60.0,False
2019/9 実,22.0,False
2020/3 実,61.0,False
2021/3 実,0.0,False
2021/9 実,7.0,False
2022/3 実,12.0,False
2022/9 実,12.0,False
2023/3 実,35.0,False
2023/9 実,17.0,False
2024/3 実,38.0,False
2024/9 実,17.0,False
2025/3 実,46.0,False
2025/9 実,20.0,False
2026/3 予,54.0,True
