period,amount,is_forecast
2013/9 実,159.5,False
2014/3 実,18.75,False
2014/9 実,18.5,False
2015/3 実,19.2,False
2015/9 実,20.4,False
2016/3 実,20.4,False
2016/9 実,23.2,False
2017/3 実,23.2,False
2017/9 実,23.5,False
2018/3 実,24.3,False
2018/9 実,24.6,False
2019/3 実,25.8,False
2019/9 実,25.6,False
2020/3 実,29.8,False
2020/9 実,27.75,False
2021/3 実,27.75,False
2021/9 実,29.2,False
2022/3 実,37.0,False
2022/9 実,33.7,False
2023/3 実,33.8,False
2023/9 実,34.7,False
2024/3 実,40.7,False
2024/9 実,20.6,False
2025/3 実,22.8,False
2025/9 実,25.2,False
2026/3 予,26.2,True
