period,amount,is_forecast
2013/7 実,3.75,False
2014/1 実,3.75,False
2014/7 実,3.75,False
2015/1 実,6.25,False
2015/7 実,3.75,False
2016/1 実,7.25,False
2016/7 実,3.75,False
2017/1 実,9.25,False
2017/7 実,3.75,False
2018/1 実,142.5,False
2018/7 実,50.0,False
2019/1 実,140.0,False
2019/7 実,50.0,False
2020/1 実,290.0,False
2020/7 実,100.0,False
2021/1 実,240.0,False
2021/7 実,100.0,False
2022/1 実,260.0,False
2022/7 実,130.0,False
2023/1 実,250.0,False
2023/7 実,130.0,False
2024/1 実,270.0,False
2024/7 実,40.0,False
2025/1 実,40.0,False
2025/7 実,40.0,False
2026/1 予,40.0,True
