period,amount,is_forecast
2013/8 実,45.0,False
2014/2 実,55.0,False
2014/8 実,26.0,False
2015/2 実,29.0,False
2015/8 実,30.0,False
2016/2 実,35.0,False
2016/8 実,35.0,False
2017/2 実,47.0,False
2017/8 実,45.0,False
2018/2 実,47.0,False
2018/8 実,47.0,False
2019/2 実,50.0,False
2019/8 実,54.0,False
2020/2 実,54.0,False
2020/8 実,57.0,False
2021/2 実,66.0,False
2021/8 実,70.0,False
2022/2 実,70.0,False
2022/8 予,73.0,True
2022/9 実,73.0,False
2023/2 予,74.0,True
2023/3 実,73.0,False
2023/9 実,75.0,False
2024/3 実,72.0,False
2024/9 実,76.0,False
2025/3 実,76.0,False
2025/9 実,77.0,False
2026/3 予,15.4,True
