period,amount,is_forecast
2013/6 実,20.0,False
2013/9 実,20.0,False
2013/12 実,20.0,False
2014/3 実,22.0,False
2014/6 実,22.0,False
2014/9 実,22.0,False
2014/12 実,22.0,False
2015/3 実,22.0,False
2015/6 実,22.0,False
2015/9 実,22.0,False
2015/12 実,22.0,False
2016/3 実,22.0,False
2016/6 実,22.0,False
2016/9 実,22.0,False
2016/12 実,24.0,False
2017/3 実,24.0,False
2017/6 実,24.0,False
2017/9 実,24.0,False
2017/12 実,25.0,False
2018/3 実,27.0,False
2018/6 実,27.0,False
2018/9 実,28.0,False
2018/12 実,28.0,False
2019/3 実,28.0,False
2019/6 実,28.0,False
2019/9 実,28.0,False
2019/12 実,28.0,False
2020/3 実,28.0,False
2020/6 実,11.0,False
2020/9 実,19.0,False
2020/12 実,26.0,False
2021/3 実,54.0,False
2021/9 実,55.0,False
2022/3 実,65.0,False
2022/9 実,60.0,False
2023/3 実,60.0,False
2023/9 実,87.0,False
2024/3 実,39.0,False
2024/9 実,34.0,False
2025/3 実,68.0,False
2025/9 実,35.0,False
2026/3 予,35.0,True
