period,amount,is_forecast
2013/7 実,20.0,False
2014/1 実,10.0,False
2014/7 実,10.0,False
2015/1 実,5.0,False
2016/1 実,0.0,False
2017/1 実,2.0,False
2017/7 実,3.0,False
2018/1 実,3.0,False
2018/7 実,3.0,False
2019/1 実,3.0,False
2019/7 実,5.0,False
2020/1 実,7.0,False
2020/7 実,6.0,False
2021/1 実,18.0,False
2021/7 実,15.0,False
2022/1 実,9.0,False
2022/7 実,6.0,False
2023/1 実,6.0,False
2023/7 実,12.0,False
2024/1 実,15.0,False
2024/7 実,15.0,False
2025/1 実,15.0,False
2025/7 実,23.0,False
2026/1 予,23.0,True
