period,amount,is_forecast
2013/11 実,30.0,False
2014/5 実,40.0,False
2014/11 実,35.0,False
2015/5 実,65.0,False
2015/11 実,50.0,False
2016/5 実,80.0,False
2016/8 実,35.0,False
2017/2 実,17.5,False
2017/8 実,36.0,False
2018/2 実,40.0,False
2018/8 実,39.0,False
2019/2 実,39.0,False
2019/8 実,40.0,False
2020/2 実,40.0,False
2020/8 実,40.0,False
2021/2 実,40.0,False
2021/8 実,40.0,False
2022/2 実,40.0,False
2022/8 実,40.0,False
2023/2 実,40.0,False
2023/8 実,40.0,False
2024/2 実,40.0,False
2024/8 実,8.0,False
2025/2 実,8.0,False
2025/8 実,8.0,False
2026/2 予,8.0,True
