period,amount,is_forecast
2013/9 実,55.0,False
2014/3 実,60.0,False
2014/9 実,60.0,False
2015/3 実,65.0,False
2015/9 実,65.0,False
2016/3 実,70.0,False
2016/9 実,70.0,False
2017/3 実,70.0,False
2017/9 実,80.0,False
2018/3 実,80.0,False
2018/9 実,87.5,False
2019/3 実,87.5,False
2019/9 実,95.0,False
2020/3 実,87.5,False
2020/9 実,50.0,False
2021/3 実,50.0,False
2021/9 実,50.0,False
2022/3 実,50.0,False
2022/9 実,50.0,False
2023/3 実,75.0,False
2023/9 実,57.5,False
2024/3 実,84.5,False
2024/9 実,37.0,False
2025/3 実,47.5,False
2025/9 実,45.0,False
2026/3 予,45.5,True
