period,amount,is_forecast
2014/3 実,60.0,False
2015/3 実,60.0,False
2016/3 実,59.0,False
2016/9 実,33.0,False
2017/3 実,37.0,False
2017/9 実,35.0,False
2018/3 実,35.0,False
2018/9 実,36.0,False
2019/3 実,34.0,False
2019/9 実,35.0,False
2020/3 実,31.0,False
2020/9 実,33.0,False
2021/3 実,33.0,False
2021/9 実,33.0,False
2022/3 実,34.0,False
2022/9 実,33.0,False
2023/3 実,37.0,False
2023/9 実,46.0,False
2024/3 実,56.0,False
2024/9 実,46.0,False
2025/3 実,56.0,False
2025/9 実,54.0,False
2026/3 予,54.0,True
