period,amount,is_forecast
2013/9 実,37.0,False
2014/3 実,37.0,False
2014/9 実,39.0,False
2015/3 実,41.0,False
2015/9 実,48.0,False
2016/3 実,52.0,False
2016/9 実,60.0,False
2017/3 実,70.0,False
2017/9 実,68.0,False
2018/3 実,78.0,False
2018/9 実,78.0,False
2019/3 実,110.0,False
2019/9 実,100.0,False
2020/3 実,105.0,False
2020/9 実,110.0,False
2021/3 実,130.0,False
2021/9 実,130.0,False
2022/3 実,155.0,False
2022/9 実,158.0,False
2023/3 実,185.0,False
2023/9 実,195.0,False
2024/3 実,245.0,False
2024/9 実,225.0,False
2025/3 実,230.0,False
2025/9 実,79.0,False
2026/3 予,79.0,True
