period,amount,is_forecast
2014/1 実,10.0,False
2014/7 実,10.0,False
2015/1 実,10.0,False
2015/7 実,12.0,False
2016/1 実,12.0,False
2016/7 実,12.0,False
2017/1 実,13.0,False
2017/7 実,13.0,False
2018/1 実,13.0,False
2018/7 実,13.0,False
2019/1 実,13.0,False
2019/7 実,13.0,False
2020/1 実,13.0,False
2020/7 実,13.0,False
2021/1 実,13.0,False
2021/7 実,19.0,False
2022/1 実,13.0,False
2022/7 実,13.0,False
2023/1 実,13.0,False
2023/7 実,23.0,False
2024/1 実,16.0,False
2024/7 実,21.0,False
2025/1 実,21.0,False
2025/7 実,21.0,False
2026/1 予,22.0,True
2026/7 予,22.0,True
