period,amount,is_forecast
2014/3 実,1.0,False
2014/9 実,1.0,False
2015/3 実,4.0,False
2015/9 実,9.0,False
2016/3 実,5.0,False
2017/3 実,8.0,False
2017/9 実,5.0,False
2018/3 実,2.0,False
2018/9 実,24.0,False
2019/3 実,37.0,False
2019/9 実,11.0,False
2020/3 実,2.0,False
2020/9 実,15.0,False
2021/3 実,19.0,False
2021/9 実,17.0,False
2022/3 実,20.0,False
2022/9 実,20.0,False
2023/3 実,23.0,False
2023/9 実,24.0,False
2024/3 実,24.0,False
2024/9 実,24.0,False
2025/3 実,24.0,False
2025/9 実,11.5,False
2026/3 予,11.5,True
