period,amount,is_forecast
2013/7 実,20.0,False
2014/1 実,23.0,False
2014/7 実,25.0,False
2015/1 実,25.0,False
2015/7 実,27.0,False
2016/1 実,27.0,False
2016/7 実,32.0,False
2017/1 実,32.0,False
2017/7 実,37.0,False
2018/1 実,40.0,False
2018/7 実,39.0,False
2019/1 実,40.0,False
2019/7 実,40.0,False
2020/1 実,41.0,False
2020/7 実,45.0,False
2021/1 実,39.0,False
2021/7 実,43.0,False
2022/1 実,47.0,False
2022/7 実,52.0,False
2023/1 実,58.0,False
2023/7 実,59.0,False
2024/1 実,64.0,False
2024/7 実,64.0,False
2025/1 実,71.0,False
2025/7 実,72.0,False
2026/1 予,72.0,True
