period,amount,is_forecast
2013/9 実,39.5,False
2014/3 実,42.0,False
2014/9 実,42.0,False
2015/3 実,46.0,False
2015/9 実,46.0,False
2016/3 実,50.0,False
2016/9 実,50.0,False
2017/3 実,55.0,False
2017/9 実,55.0,False
2018/3 実,62.0,False
2018/9 実,62.0,False
2019/3 実,68.0,False
2019/9 実,68.0,False
2020/3 実,77.0,False
2020/9 実,77.0,False
2021/3 実,85.0,False
2021/9 実,82.0,False
2022/3 実,86.0,False
2022/9 実,86.0,False
2023/3 実,45.0,False
2023/9 実,50.0,False
2024/3 実,60.0,False
2024/9 実,60.0,False
2025/3 実,64.0,False
2025/9 実,64.0,False
2026/3 予,32.0,True
