period,amount,is_forecast
2013/8 実,20.0,False
2014/2 実,20.0,False
2014/8 実,22.0,False
2015/2 実,23.0,False
2015/8 実,23.0,False
2016/2 実,28.0,False
2016/8 実,28.0,False
2017/2 実,32.0,False
2017/8 実,32.0,False
2018/2 実,36.0,False
2018/8 実,34.0,False
2019/2 実,36.0,False
2019/8 実,35.0,False
2020/2 実,41.0,False
2020/8 実,40.0,False
2021/2 実,46.0,False
2021/8 実,43.0,False
2022/2 実,47.0,False
2022/8 実,45.0,False
2023/2 実,49.0,False
2023/8 実,50.0,False
2024/2 実,58.0,False
2024/8 実,58.0,False
2025/2 実,62.0,False
2025/8 実,62.0,False
2026/2 予,62.0,True
