period,amount,is_forecast
2013/9 実,7.5,False
2014/3 実,12.5,False
2014/9 実,7.5,False
2015/3 実,7.5,False
2015/9 実,7.5,False
2016/3 実,7.5,False
2016/9 実,7.5,False
2017/3 実,7.5,False
2017/9 実,7.5,False
2018/3 実,3.75,False
2018/9 実,3.75,False
2019/3 実,3.75,False
2019/9 実,5.0,False
2020/3 実,5.0,False
2020/8 実,5.0,False
2020/9 予,5.0,True
2021/2 実,5.0,False
2021/3 予,5.0,True
2021/8 実,5.0,False
2022/2 実,5.0,False
2022/8 実,5.0,False
2023/2 実,5.0,False
2023/8 実,5.0,False
2024/2 実,5.0,False
2024/8 実,7.5,False
2025/2 実,8.0,False
2025/8 実,7.5,False
2026/2 予,7.5,True
