period,amount,is_forecast
2013/11 実,65.0,False
2014/5 実,76.0,False
2014/11 実,35.25,False
2015/5 実,52.75,False
2015/11 実,44.0,False
2016/5 実,64.0,False
2016/11 実,54.0,False
2017/5 実,86.0,False
2017/11 実,70.0,False
2018/5 実,76.0,False
2018/11 実,73.0,False
2019/5 実,75.0,False
2019/11 実,74.0,False
2020/5 実,93.0,False
2020/11 実,83.5,False
2021/5 実,83.5,False
2021/11 実,83.5,False
2022/5 実,83.5,False
2022/11 実,116.5,False
2023/5 実,143.5,False
2023/11 実,133.5,False
2024/5 実,133.5,False
2024/8 実,155.0,False
2024/11 予,155.0,True
2025/2 実,112.0,False
2025/5 予,155.0,True
2025/8 実,133.5,False
2026/2 実,0.0,False
