period,amount,is_forecast
2013/9 実,15.0,False
2014/3 実,20.0,False
2014/9 実,18.0,False
2015/3 実,25.0,False
2015/9 実,24.0,False
2016/3 実,28.0,False
2016/9 実,26.0,False
2017/3 実,26.0,False
2017/9 実,27.0,False
2018/3 実,36.0,False
2018/9 実,33.0,False
2019/3 実,35.0,False
2019/9 実,35.0,False
2020/3 実,35.0,False
2020/9 実,30.0,False
2021/3 実,40.0,False
2021/9 実,35.0,False
2022/3 実,65.0,False
2022/9 実,50.0,False
2023/3 実,60.0,False
2023/9 実,55.0,False
2024/3 実,67.0,False
2024/9 実,66.0,False
2025/3 実,74.0,False
2025/9 実,72.0,False
2026/3 予,73.0,True
