date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,4.3,12.0,1,27.5,1499,
2024-03-27,0.0,10.4,3,17.5,1205,
2023-03-29,0.0,8.8,3,17.5,1030,
2022-03-29,0.0,0.0,1,20.0,934,
2021-03-29,0.0,9.6,1,15.0,1184,
2020-03-27,2.35,11.2,1,15.0,1378,
2019-03-26,1.8,16.8,3,17.5,2086,
2018-03-27,2.7,19.2,3,17.5,2351,
2017-03-28,0.6,4.0,3,3.5,497,
2016-03-28,0.5,4.0,1,4.0,431,
2015-03-26,0.0,4.4,1,3.0,517,
2014-03-26,0.5,6.0,1,3.0,421,
2013-03-26,0.3,6.0,3,0.0,441,
2012-03-27,0.15,6.0,3,0.0,399,
2011-03-28,0.05,6.0,1,0.0,400,
