date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.05,4.0,1,1.0,80,
2024-03-27,0.0,4.0,3,1.0,89,
2023-03-29,0.0,4.0,3,1.0,67,
2022-03-29,0.0,0.0,1,1.0,74,
2021-03-29,0.0,0.0,1,1.0,77,
2020-03-27,0.0,0.0,1,1.0,56,
2019-03-26,0.0,0.0,3,1.0,75,
2018-03-27,0.0,0.0,3,1.5,123,
2017-03-28,0.0,0.0,3,1.0,72,
2016-03-28,0.0,0.0,1,1.0,54,
2015-03-26,0.0,0.0,1,1.0,69,
2014-03-26,0.0,0.0,1,1.0,54,
2013-03-26,0.0,0.0,3,0.0,42,
2012-03-27,0.0,0.0,3,0.0,30,
2011-03-28,0.0,0.0,1,0.0,33,
