date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,63.0,1774,
2024-03-27,0.0,0.0,3,50.0,1563,
2023-03-29,0.0,0.0,3,47.0,1401,
2022-03-29,0.0,0.0,1,50.0,1477,
2021-03-29,0.0,0.0,1,35.0,1385,
2020-03-27,0.0,0.0,1,45.0,1154,
2019-03-26,0.0,0.0,3,35.0,1293,
2018-03-27,0.0,0.0,3,60.0,2745,
2017-03-28,0.0,0.0,3,50.0,1588,
2016-03-28,0.0,0.0,1,80.0,2131,
2015-03-26,0.0,0.0,1,80.0,2547,
2014-03-26,0.0,0.0,1,70.0,1994,
2013-03-26,0.0,0.0,3,0.0,1949,
2012-03-27,0.0,0.0,3,0.0,1500,
2011-03-28,0.0,0.0,1,0.0,1800,
