date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,58.0,1525,注意
2024-03-27,0.0,0.0,3,40.0,1913,
2023-03-29,0.0,0.0,3,16.0,455,
2022-03-29,0.0,0.0,1,20.0,600,
2021-03-29,0.0,0.0,1,20.0,527,
2020-03-27,0.0,0.0,1,60.0,1525,
2019-03-26,0.0,0.0,3,60.0,0,
2018-03-27,0.0,0.0,3,50.0,3395,
2017-03-28,0.0,0.0,3,5.0,222,
2016-03-28,0.0,0.0,1,6.0,215,
2015-03-26,0.0,0.0,1,5.0,309,
2014-03-26,0.0,0.0,1,5.0,343,
2013-03-26,0.0,0.0,3,0.0,160,
2012-03-27,0.0,0.0,3,0.0,121,
2011-03-28,0.0,0.0,1,0.0,125,
