date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,8.0,8.0,1,10.0,909,
2024-03-27,1.65,8.8,3,10.0,1002,
2023-03-29,1.8,8.8,3,10.0,1048,
2022-03-29,1.55,8.8,1,10.0,1057,
2021-03-29,2.15,9.6,1,10.0,1119,
2020-03-27,8.0,8.0,1,10.0,930,
2019-03-26,2.1,8.8,3,10.0,1015,
2018-03-27,0.0,12.0,3,10.0,1401,
2017-03-28,26.4,8.8,3,12.0,1009,
2016-03-28,6.4,6.4,1,10.0,761,
2015-03-26,6.4,6.4,1,10.0,762,
2014-03-26,8.0,8.0,1,10.0,697,
2013-03-26,24.0,8.0,3,0.0,610,
2012-03-27,24.0,8.0,3,0.0,590,
2011-03-28,16.0,16.0,1,0.0,530,
