date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,42.0,2610,
2024-03-27,0.0,24.0,3,32.0,2978,
2023-03-29,0.0,16.0,3,22.0,1928,
2022-03-29,0.0,18.4,1,23.0,2260,
2021-03-29,0.0,24.8,1,21.0,3055,
2020-03-27,0.0,19.2,1,23.0,2313,
2019-03-26,0.0,17.6,3,22.0,2111,
2018-03-27,0.0,22.4,3,20.0,2753,
2017-03-28,2.4,13.6,3,15.0,1622,
2016-03-28,0.0,0.0,1,15.0,1632,
2015-03-26,0.0,12.8,1,16.0,1541,
2014-03-26,0.0,0.0,1,14.0,1424,
2013-03-26,0.0,8.0,3,0.0,889,
2012-03-27,1.5,8.0,3,0.0,774,
2011-03-28,8.0,8.0,1,0.0,580,
