date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,0.1,20.8,1,45.0,2573,
2025-03-27,0.0,16.8,1,45.0,2026,
2024-09-26,1.75,16.0,1,40.0,1933,
2024-03-27,0.0,16.0,3,45.0,1926,
2023-09-27,5.4,16.0,3,40.0,1965,
2023-03-29,0.0,12.8,3,40.0,1566,
2022-09-28,0.15,12.8,3,40.0,1587,
2022-03-29,0.0,0.0,1,45.0,1471,
2021-09-28,0.0,0.0,1,35.0,1537,
2021-03-29,0.05,13.6,1,35.0,1624,
2020-09-28,2.7,12.0,1,35.0,1462,
2020-03-27,0.8,10.4,1,50.0,1236,
2019-09-26,1.5,10.4,1,20.0,1284,
2019-03-26,0.15,12.0,3,70.0,1457,
2018-09-25,0.0,0.0,3,10.0,1492,
2018-03-27,0.0,13.6,3,40.0,1629,
2017-09-26,0.0,12.0,3,10.0,1471,
2017-03-28,0.0,0.0,3,30.0,1268,
2016-09-27,0.0,0.0,3,0.0,958,
2016-03-28,0.0,0.0,1,15.0,1082,
2015-09-25,0.0,0.0,1,0.0,1403,
2015-03-26,0.0,0.0,1,10.0,1122,
2014-09-25,0.0,0.0,1,0.0,845,
2014-03-26,0.0,0.0,1,3.0,604,
2013-09-25,0.0,0.0,1,0.0,138,
2013-03-26,0.0,0.0,3,0.0,87,
2012-09-25,0.0,0.0,3,0.0,51,
2012-03-27,0.0,0.0,3,0.0,68,
2011-09-27,0.0,0.0,3,0.0,49,
2011-03-28,0.0,0.0,1,0.0,62,
