date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,0.0,0.0,1,0.0,1227,
2025-03-27,0.0,12.8,1,20.0,1531,
2024-09-26,0.0,12.8,1,0.0,1564,
2024-03-27,2.4,12.8,3,20.0,1583,
2023-09-27,0.15,12.0,3,0.0,1464,
2023-03-29,0.0,0.0,3,40.0,1386,
2022-09-28,0.0,0.0,3,0.0,1277,
2022-03-29,0.0,0.0,1,40.0,1327,
2021-09-28,0.0,0.0,1,0.0,1378,
2021-03-29,0.0,0.0,1,50.0,1574,
2020-09-28,0.0,0.0,1,0.0,1880,
2020-03-27,0.0,0.0,1,40.0,1622,
2019-09-26,0.05,14.4,1,0.0,1750,
2019-03-26,6.0,16.8,3,40.0,2005,
2018-09-25,0.15,20.0,3,0.0,2405,
2018-03-27,3.0,18.4,3,40.0,2223,
2017-09-26,0.15,18.4,3,0.0,2210,
2017-03-28,0.0,14.4,3,50.0,1800,
2016-09-27,0.15,4.0,3,0.0,142,
2016-03-28,0.0,0.0,1,4.0,151,
2015-09-25,0.0,0.0,1,0.0,148,
2015-03-26,0.0,0.0,1,4.0,156,
2014-09-25,0.0,0.0,1,0.0,157,
2014-03-26,0.0,0.0,1,3.0,143,
2013-09-25,0.0,0.0,1,0.0,138,
2013-03-26,0.0,0.0,3,0.0,146,
2012-09-25,0.0,0.0,3,0.0,109,
2012-03-27,0.0,0.0,3,0.0,120,
2011-09-27,0.0,0.0,3,0.0,115,
2011-03-28,0.0,0.0,1,0.0,123,
