date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,4.1,29.6,1,60.0,3690,
2024-03-27,6.75,33.6,3,70.0,4200,
2023-03-29,7.05,24.0,3,50.0,2992,
2022-03-29,0.0,26.4,1,70.0,3255,
2021-03-29,3.85,43.2,1,75.0,5320,
2020-03-27,4.25,32.0,1,50.0,4000,
2019-03-26,2.85,34.4,3,50.0,4300,
2018-03-27,4.05,33.6,3,25.0,4190,
2017-03-28,0.6,36.8,3,45.0,4515,
2016-03-28,0.5,4.0,1,2.5,404,
2015-03-26,0.4,4.0,1,2.5,293,
2014-03-26,0.4,6.0,1,2.5,232,
2013-03-26,0.3,6.0,3,0.0,226,
2012-03-27,0.15,6.0,3,0.0,194,
2011-03-28,0.05,6.0,1,0.0,172,
