date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,3.0,27.2,1,67.0,3365,
2025-03-27,0.15,26.4,1,101.0,3260,
2024-09-26,3.9,20.0,1,101.0,2492,
2024-03-27,3.9,18.4,3,44.0,2261,
2023-09-27,0.0,16.0,3,30.0,1987,
2023-03-29,2.4,12.8,3,30.0,1555,
2022-09-28,2.4,11.2,3,26.0,1372,
2022-03-29,0.1,11.2,1,26.0,1391,
2021-09-28,0.0,0.0,1,26.0,1599,
2021-03-29,0.0,16.0,1,20.0,1903,
2020-09-28,2.25,16.0,1,20.0,1990,
2020-03-27,0.05,14.4,1,29.0,1710,
2019-09-26,2.25,17.6,1,29.0,2181,
2019-03-26,0.0,19.2,3,29.0,2378,
2018-09-25,3.6,28.0,3,23.0,3450,
2018-03-27,2.4,24.0,3,21.0,2924,
2017-09-26,3.3,20.8,3,21.0,2517,
2017-03-28,3.3,18.4,3,20.0,2293,
2016-09-27,3.3,17.6,3,20.0,2190,
2016-03-28,0.0,16.0,1,20.0,1969,
2015-09-25,0.55,15.2,1,20.0,1890,
2015-03-26,1.45,16.0,1,20.0,1975,
2014-09-25,3.0,15.2,1,20.0,1864,
2014-03-26,0.0,0.0,1,20.0,1779,
2013-09-25,0.1,20.0,1,20.0,2337,
2013-03-26,1.35,20.0,3,0.0,2345,
2012-09-25,0.15,12.0,3,0.0,1306,
2012-03-27,0.3,16.0,3,0.0,1846,
2011-09-27,0.3,16.0,3,0.0,1635,
2011-03-28,0.55,16.0,1,0.0,1959,
