date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.55,11.2,1,36.0,1358,
2024-03-27,1.05,11.2,3,22.0,1323,
2023-03-29,2.25,8.0,3,18.0,975,
2022-03-29,0.8,8.8,1,20.0,1004,
2021-03-29,0.7,20.0,1,25.0,2403,
2020-03-27,3.6,17.6,1,23.0,2120,
2019-03-26,2.55,16.0,3,20.0,2000,
2018-03-27,3.3,32.0,3,23.0,1967,注意
2017-03-28,3.0,27.2,3,23.0,1604,注意
2016-03-28,18.0,25.6,1,25.0,1520,注意
2015-03-26,1.45,25.6,1,20.0,1543,注意
2014-03-26,1.45,24.0,1,20.0,1271,
2013-03-26,1.2,12.0,3,0.0,1270,
2012-03-27,1.5,12.0,3,0.0,1217,
2011-03-28,0.1,24.0,1,0.0,1183,
