date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,0.0,51.2,1,60.0,6330,
2025-03-27,0.0,0.0,1,110.0,6410,
2024-09-26,1.7,43.2,1,20.0,5370,
2024-03-27,0.0,0.0,3,90.0,5310,
2023-09-27,0.3,40.8,3,20.0,5078,
2023-03-29,0.15,39.2,3,82.0,4890,
2022-09-28,0.0,40.0,3,20.0,4930,
2022-03-29,0.0,43.2,1,76.0,5390,
2021-09-28,0.15,54.4,1,20.0,6750,
2021-03-29,0.0,0.0,1,57.0,6860,
2020-09-28,0.0,59.2,1,20.0,7350,
2020-03-27,0.1,53.6,1,57.0,6700,
2019-09-26,3.0,70.4,1,20.0,8750,
2019-03-26,0.0,0.0,3,57.0,6190,
2018-09-25,3.0,88.8,3,20.0,11070,
2018-03-27,0.0,68.0,3,46.0,8420,
2017-09-26,0.0,65.6,3,20.0,8140,
2017-03-28,0.0,56.0,3,40.0,7000,
2016-09-27,0.0,0.0,3,20.0,5510,
2016-03-28,0.0,54.4,1,40.0,6770,
2015-09-25,0.0,0.0,1,20.0,4645,
2015-03-26,0.0,0.0,1,35.0,3955,
2014-09-25,0.0,0.0,1,20.0,2525,
2014-03-26,0.0,0.0,1,30.0,2370,
2013-09-25,0.0,20.0,1,20.0,2325,
2013-03-26,0.0,0.0,3,0.0,1950,
2012-09-25,0.0,16.0,3,0.0,1727,
2012-03-27,1.5,16.0,3,0.0,1637,
2011-09-27,0.15,24.0,3,0.0,1427,
2011-03-28,0.05,24.0,1,0.0,1405,
