date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,9.0,17.6,1,40.0,2119,
2024-03-27,3.45,18.4,3,40.0,2284,
2023-03-29,4.05,12.8,3,25.0,1584,
2022-03-29,3.8,25.6,1,25.0,1588,注意
2021-03-29,3.9,30.4,1,25.0,1887,注意
2020-03-27,12.8,12.8,1,25.0,1504,
2019-03-26,1.8,20.0,3,25.0,2475,
2018-03-27,4.2,27.2,3,25.0,3315,
2017-03-28,3.0,22.4,3,30.0,2706,
2016-03-28,16.0,17.6,1,25.0,2161,
2015-03-26,0.0,0.0,1,15.0,2256,停止
2014-03-26,16.0,16.0,1,15.0,1609,
2013-03-26,1.2,12.0,3,0.0,1403,
2012-03-27,1.35,12.0,3,0.0,1243,
2011-03-28,1.2,12.0,1,0.0,1468,
