date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,0.0,0.0,1,0.0,1337,
2025-03-27,2.65,8.0,1,30.0,915,
2024-09-26,0.0,7.2,1,0.0,812,
2024-03-27,0.0,0.0,3,30.0,1103,
2023-09-27,0.0,0.0,3,0.0,748,
2023-03-29,0.0,0.0,3,24.0,747,
2022-09-28,0.0,0.0,3,0.0,633,
2022-03-29,0.0,0.0,1,14.0,525,
2021-09-28,0.0,0.0,1,0.0,542,
2021-03-29,0.0,0.0,1,10.0,465,
2020-09-28,0.0,0.0,1,0.0,400,
2020-03-27,0.0,0.0,1,10.0,406,
2019-09-26,0.0,0.0,1,0.0,419,
2019-03-26,0.0,0.0,3,12.0,473,
2018-09-25,0.0,0.0,3,0.0,581,
2018-03-27,0.0,0.0,3,10.0,605,
2017-09-26,0.0,0.0,3,0.0,414,
2017-03-28,0.0,0.0,3,10.0,390,
2016-09-27,0.0,0.0,3,0.0,313,
2016-03-28,0.0,0.0,1,10.0,398,
2015-09-25,0.0,0.0,1,0.0,318,
2015-03-26,0.0,0.0,1,2.0,327,
2014-09-25,0.0,0.0,1,0.0,319,
2014-03-26,0.0,0.0,1,10.0,340,
2013-09-25,0.0,0.0,1,0.0,324,
2013-03-26,0.0,0.0,3,0.0,344,
2012-09-25,0.0,0.0,3,0.0,344,
2012-03-27,0.0,0.0,3,0.0,360,
2011-09-27,0.0,0.0,3,0.0,321,
2011-03-28,0.0,0.0,1,0.0,365,
