date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-07-29,68.8,68.8,1,0.0,4300,
2025-01-29,211.2,70.4,3,0.0,4325,停止
2024-07-29,62.4,62.4,1,0.0,3840,停止
2024-01-29,44.8,44.8,1,0.0,2734,停止
2023-07-27,0.05,3.4,1,0.0,1628,
2023-01-27,0.0,3.4,1,0.0,1601,
2022-07-27,0.15,3.2,3,0.0,1530,
2022-01-27,0.05,3.2,1,0.0,1560,
2021-07-28,0.15,3.2,3,0.0,1540,
2021-01-27,0.15,3.2,3,0.0,1522,
2020-07-29,0.15,3.0,3,0.0,1450,
2020-01-29,0.0,0.0,3,0.0,1744,
2019-07-29,0.0,0.0,1,0.0,1623,
