date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,17.4,31.2,1,45.0,3860,
2025-03-27,7.8,32.0,1,50.0,3945,
2024-09-26,6.2,27.2,1,40.0,3390,
2024-03-27,5.4,26.4,3,40.0,3240,
2023-09-27,3.15,26.4,3,20.0,3225,
2023-03-29,3.15,26.4,3,20.0,3295,
2022-09-28,3.15,27.2,3,20.0,3390,
2022-03-29,3.1,29.6,1,20.0,3605,
2021-09-28,3.1,28.8,1,20.0,3515,
2021-03-29,1.6,32.0,1,20.0,3910,
2020-09-28,0.1,34.4,1,0.0,4270,
2020-03-27,3.15,36.0,1,20.0,4425,
2019-09-26,3.5,31.2,1,20.0,3895,
2019-03-26,3.15,32.0,3,22.5,3940,
2018-09-25,2.7,32.0,3,17.5,3945,
2018-03-27,2.85,30.4,3,17.5,3795,
2017-09-26,1.2,6.0,3,3.5,750,
2017-03-28,0.6,6.0,3,3.5,737,
2016-09-27,0.45,6.0,3,3.5,735,
2016-03-28,0.0,6.0,1,3.5,710,
2015-09-25,0.4,5.6,1,2.5,659,
2015-03-26,0.0,0.0,1,2.5,615,
2014-09-25,2.0,4.4,1,2.5,535,
2014-03-26,0.8,8.0,1,2.5,519,
2013-09-25,0.2,8.0,1,2.5,532,
2013-03-26,0.0,8.0,3,0.0,550,
2012-09-25,0.6,6.0,3,0.0,469,
2012-03-27,0.3,6.0,3,0.0,441,
2011-09-27,0.3,6.0,3,0.0,426,
2011-03-28,0.2,6.0,1,0.0,422,
