date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,13.5,1391,
2024-03-27,0.0,0.0,3,11.0,967,
2023-03-29,0.0,5.6,3,10.5,632,
2022-03-29,0.05,4.8,1,10.5,553,
2021-03-29,0.0,4.0,1,10.5,473,
2020-03-27,0.0,4.0,1,10.5,359,
2019-03-26,0.0,0.0,3,10.5,496,
2018-03-27,0.0,0.0,3,10.0,576,
2017-03-28,0.0,0.0,3,9.5,612,
2016-03-28,0.0,0.0,1,8.5,412,
2015-03-26,0.0,5.6,1,17.0,637,
2014-03-26,0.0,0.0,1,15.0,485,
2013-03-26,0.0,0.0,3,0.0,503,
2012-03-27,0.0,0.0,3,0.0,407,
2011-03-28,0.0,0.0,1,0.0,404,
