date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,20.0,1392,
2024-03-27,0.0,0.0,3,18.0,1326,
2023-03-29,0.0,0.0,3,18.0,960,
2022-03-29,0.0,0.0,1,15.0,990,
2021-03-29,0.0,0.0,1,15.0,1023,
2020-03-27,0.0,0.0,1,15.0,980,
2019-03-26,0.0,0.0,3,15.0,1131,
2018-03-27,0.0,0.0,3,13.5,1209,
2017-03-28,0.0,0.0,3,15.0,1118,
2016-03-28,0.0,0.0,1,20.0,1210,
2015-03-26,0.0,0.0,1,10.0,1141,
2014-03-26,0.0,0.0,1,10.0,0,
2013-03-26,0.0,0.0,3,0.0,0,
2012-03-27,0.0,0.0,3,0.0,1022,
2011-03-28,0.0,0.0,1,0.0,1000,
