date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-08-27,18.0,13.6,3,4.5,1634,
2025-02-26,0.75,10.4,3,4.0,1290,
2024-08-28,26.4,8.8,3,4.0,1060,
2024-02-27,8.8,8.8,1,3.5,1076,
2023-08-29,1.0,9.6,1,3.5,1131,
2023-02-24,0.55,8.0,1,3.0,957,
2022-08-29,1.0,8.0,1,3.0,945,
2022-02-24,0.5,6.4,1,3.0,706,
2021-08-27,0.55,7.2,1,1.5,865,
2021-02-24,1.65,7.2,3,0.0,861,
2020-08-27,11.2,11.2,1,0.0,660,停止
2020-02-26,1.05,16.8,3,0.0,2043,
2019-08-28,1.05,13.6,3,6.0,1624,
2019-02-25,1.5,10.4,1,6.0,1281,
2018-08-28,20.7,11.2,3,6.0,1343,
2018-02-23,8.5,10.4,1,5.0,1201,
2017-08-28,1.45,9.6,1,5.0,1133,
2017-02-23,8.0,8.0,1,6.5,998,
2016-08-26,1.15,8.8,1,6.5,1009,
2016-02-24,5.45,23.2,1,18.5,2890,
2015-08-26,20.0,21.6,1,16.5,2663,
2015-02-24,27.0,12.8,3,11.34,1537,
2014-08-26,0.0,0.0,3,34.0,3940,
2014-02-25,0.0,0.0,3,36.0,2998,
2013-08-27,0.0,0.0,3,30.0,2749,
2013-02-25,0.0,0.0,1,0.0,1870,
2012-08-28,0.0,0.0,3,0.0,792,
2012-02-24,0.0,0.0,1,0.0,565,
2011-08-26,0.0,0.0,1,0.0,371,
2011-02-23,0.0,0.0,1,0.0,562,
