date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,0.2,94.4,1,0.0,5880,
2025-03-27,0.0,0.0,1,10.0,5350,停止
2024-09-26,0.0,0.0,1,0.0,5240,停止
2024-03-27,0.0,0.0,3,5.0,5470,停止
2023-09-27,0.0,0.0,3,0.0,5320,停止
2023-03-29,0.0,0.0,3,5.0,4120,停止
2022-09-28,0.0,0.0,3,0.0,3180,停止
2022-03-29,0.0,0.0,1,0.0,2934,停止
2021-09-28,0.0,0.0,1,0.0,3015,停止
2021-03-29,0.0,0.0,1,0.0,3010,停止
2020-09-28,0.0,0.0,1,0.0,3030,停止
2020-03-27,0.0,0.0,1,25.0,2185,停止
2019-09-26,0.0,0.0,1,0.0,2230,停止
2019-03-26,0.0,0.0,3,25.0,2377,停止
2018-09-25,0.0,0.0,3,0.0,2233,停止
2018-03-27,0.0,0.0,3,25.0,2382,停止
2017-09-26,0.0,0.0,3,0.0,2035,停止
2017-03-28,105.0,35.2,3,30.0,2151,停止
2016-09-27,0.0,0.0,3,0.0,1898,注意
2016-03-28,44.0,44.0,1,25.0,2177,10倍
2015-09-25,0.05,15.2,1,0.0,1868,
2015-03-26,33.6,33.6,1,25.0,2071,注意
2014-09-25,0.05,11.2,1,0.0,1400,
2014-03-26,24.0,24.0,1,20.0,1305,
2013-09-25,0.0,0.0,1,0.0,1130,
2013-03-26,36.0,0.0,3,0.0,1157,
2012-09-25,0.0,0.0,3,0.0,935,
2012-03-27,36.0,0.0,3,0.0,1047,
2011-09-27,0.0,0.0,3,0.0,869,
2011-03-28,8.0,0.0,1,0.0,937,
