date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,1.5,14.4,1,25.0,1723,
2025-03-27,0.1,12.8,1,25.0,1541,
2024-09-26,0.05,13.6,1,15.0,1662,
2024-03-27,1.5,17.6,3,19.0,2174,
2023-09-27,0.6,19.2,3,11.0,2312,
2023-03-29,0.15,14.4,3,21.0,1751,
2022-09-28,0.0,15.2,3,0.0,1809,
2022-03-29,0.05,16.8,1,10.0,2086,
2021-09-28,0.05,20.8,1,0.0,2589,
2021-03-29,0.75,25.6,1,10.0,3185,
2020-09-28,0.8,22.4,1,0.0,2722,
2020-03-27,1.75,20.0,1,10.0,2477,
2019-09-26,1.9,21.6,1,11.0,2676,
2019-03-26,1.8,22.4,3,11.0,2717,
2018-09-25,1.65,22.4,3,10.0,2734,
2018-03-27,0.45,17.6,3,10.0,2177,
2017-09-26,1.65,17.6,3,10.0,2166,
2017-03-28,1.65,18.4,3,10.0,2246,
2016-09-27,1.35,9.6,3,4.5,1166,
2016-03-28,0.75,10.4,1,4.5,1259,
2015-09-25,0.55,9.2,1,4.5,1102,
2015-03-26,0.0,10.8,1,4.5,1311,
2014-09-25,0.65,8.4,1,4.0,1036,
2014-03-26,0.6,8.0,1,4.0,871,
2013-09-25,0.05,12.0,1,4.0,1015,
2013-03-26,0.3,12.0,3,0.0,1189,
2012-09-25,0.3,8.0,3,0.0,830,
2012-03-27,0.3,8.0,3,0.0,800,
2011-09-27,0.3,8.0,3,0.0,725,
2011-03-28,0.05,8.0,1,0.0,703,
