date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.55,11.2,1,25.0,1330,
2024-03-27,0.75,7.2,3,12.0,892,
2023-03-29,0.0,4.0,3,10.0,445,
2022-03-29,0.0,4.0,1,7.0,374,
2021-03-29,0.05,4.0,1,7.0,416,
2020-03-27,0.55,4.0,1,7.0,353,
2019-03-26,0.0,4.0,3,7.0,478,
2018-03-27,0.15,5.6,3,7.0,615,
2017-03-28,0.9,5.6,3,6.0,606,
2016-03-28,0.0,0.0,1,6.5,495,
2015-03-26,0.05,6.8,1,6.5,831,
2014-03-26,0.05,8.0,1,5.0,542,
2013-03-26,0.0,0.0,3,0.0,558,
2012-03-27,0.0,6.0,3,0.0,454,
2011-03-28,0.0,6.0,1,0.0,441,
