date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,0.9,10.4,1,13.0,1214,
2025-03-27,0.55,8.8,1,16.0,1003,
2024-09-26,1.6,8.0,1,11.0,957,
2024-03-27,0.9,33.6,3,55.0,4185,
2023-09-27,4.05,31.2,3,30.0,3810,
2023-03-29,2.7,28.8,3,55.0,3505,
2022-09-28,3.9,26.4,3,25.0,3220,
2022-03-29,0.1,27.2,1,55.0,3355,
2021-09-28,0.5,32.0,1,25.0,3985,
2021-03-29,0.5,40.8,1,55.0,5090,
2020-09-28,0.55,41.6,1,25.0,5140,
2020-03-27,0.1,33.6,1,52.0,4150,
2019-09-26,0.1,33.6,1,20.0,4190,
2019-03-26,0.0,0.0,3,52.0,3600,
2018-09-25,3.3,33.6,3,20.0,4180,
2018-03-27,0.75,33.6,3,50.0,4140,
2017-09-26,3.0,35.2,3,20.0,4400,
2017-03-28,1.65,36.0,3,48.0,4480,
2016-09-27,2.25,28.8,3,20.0,3555,
2016-03-28,0.0,31.2,1,43.0,3855,
2015-09-25,0.05,32.0,1,15.0,3905,
2015-03-26,1.7,28.0,1,25.0,3430,
2014-09-25,0.55,17.6,1,15.0,2127,
2014-03-26,4.0,16.0,1,28.0,1543,
2013-09-25,0.75,16.0,1,10.0,1809,
2013-03-26,1.65,16.0,3,0.0,1756,
2012-09-25,0.9,12.0,3,0.0,1500,
2012-03-27,1.5,12.0,3,0.0,1448,
2011-09-27,1.65,12.0,3,0.0,1280,
2011-03-28,0.75,12.0,1,0.0,1318,
