date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,5.6,5.6,1,0.0,672,
2024-03-27,19.2,6.4,3,0.0,733,
2023-03-29,21.6,7.2,3,0.0,893,
2022-03-29,8.0,8.0,1,0.0,946,
2021-03-29,8.0,8.0,1,0.0,938,
2020-03-27,6.4,6.4,1,0.0,800,
2019-03-26,24.0,8.0,3,0.0,974,
2018-03-27,24.0,8.0,3,0.0,1000,
2017-03-28,24.0,8.0,3,0.0,996,
2016-03-28,8.8,8.8,1,4.5,1091,
2015-03-26,0.0,0.0,1,4.5,1124,
2014-03-26,0.0,0.0,1,4.5,905,
2013-03-26,0.0,0.0,3,0.0,970,
2012-03-27,0.0,0.0,3,0.0,921,
2011-03-28,0.0,0.0,1,0.0,1815,
