date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.55,96.8,1,230.0,12085,
2024-03-27,26.1,111.2,3,245.0,13900,
2023-03-29,21.9,72.8,3,185.0,9090,
2022-03-29,0.2,58.4,1,155.0,7300,
2021-03-29,16.85,64.0,1,130.0,7940,
2020-03-27,20.0,48.0,1,105.0,5960,
2019-03-26,7.35,45.6,3,110.0,5700,
2018-03-27,10.5,57.6,3,78.0,7130,
2017-03-28,6.6,42.4,3,70.0,5260,
2016-03-28,8.0,38.4,1,52.0,4760,
2015-03-26,6.0,35.2,1,41.0,4355,
2014-03-26,5.75,32.0,1,37.0,3605,
2013-03-26,1.5,32.0,3,0.0,3615,
2012-03-27,2.55,28.0,3,0.0,3010,
2011-03-28,0.1,20.0,1,0.0,2470,
