date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,1.7,8.0,1,12.0,401,注意
2024-03-27,1.5,4.0,3,10.0,383,
2023-03-29,1.5,4.0,3,10.0,355,
2022-03-29,0.05,8.0,1,12.0,376,注意
2021-03-29,0.0,0.0,1,15.0,508,
2020-03-27,0.05,9.6,1,27.0,535,注意
2019-03-26,4.2,4.8,3,27.0,572,
2018-03-27,0.0,6.4,3,27.0,780,
2017-03-28,4.2,7.2,3,27.0,871,
2016-03-28,0.0,0.0,1,27.0,792,
2015-03-26,0.45,8.0,1,29.0,928,
2014-03-26,4.15,8.0,1,27.0,887,
2013-03-26,0.15,0.0,3,0.0,716,
2012-03-27,0.15,8.0,3,0.0,650,
2011-03-28,0.0,0.0,1,0.0,604,
