date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,0.05,48.0,1,0.0,5945,
2025-03-27,0.55,41.6,1,135.0,5111,
2024-09-26,0.1,43.2,1,0.0,5400,
2024-03-27,13.05,42.4,3,119.0,5275,
2023-09-27,0.0,36.8,3,0.0,4552,
2023-03-29,1.65,32.0,3,110.0,3955,
2022-09-28,0.0,0.0,3,0.0,3855,
2022-03-29,0.2,35.2,1,102.0,4350,
2021-09-28,0.1,35.2,1,0.0,4325,
2021-03-29,0.5,40.0,1,94.0,4920,
2020-09-28,0.1,39.2,1,0.0,4820,
2020-03-27,13.85,31.2,1,90.0,3880,
2019-09-26,0.1,36.0,1,0.0,4425,
2019-03-26,0.0,32.8,3,90.0,4085,
2018-09-25,0.0,0.0,3,0.0,4180,
2018-03-27,0.0,0.0,3,53.0,2256,
2017-09-26,0.0,25.2,3,0.0,3145,
2017-03-28,7.35,25.6,3,52.0,3175,
2016-09-27,0.15,20.0,3,0.0,2475,
2016-03-28,6.2,20.8,1,33.0,2587,
2015-09-25,0.0,20.4,1,0.0,2538,
2015-03-26,0.0,0.0,1,46.0,2836,
2014-09-25,0.05,18.8,1,0.0,2310,
2014-03-26,0.05,16.0,1,37.0,1535,
2013-09-25,0.0,12.0,1,0.0,1420,
2013-03-26,1.2,16.0,3,0.0,1553,
2012-09-25,0.0,0.0,3,0.0,1028,
2012-03-27,0.45,12.0,3,0.0,1089,
2011-09-27,0.0,0.0,3,0.0,980,
2011-03-28,0.0,8.0,1,0.0,996,
