date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,40.0,4527,
2024-03-27,3.0,29.6,3,22.0,3604,
2023-03-29,1.8,19.2,3,16.0,2366,
2022-03-29,0.1,16.0,1,15.0,1928,
2021-03-29,0.1,16.8,1,15.0,2086,
2020-03-27,0.0,0.0,1,20.0,2359,
2019-03-26,0.0,23.2,3,15.0,2812,
2018-03-27,0.45,20.0,3,15.0,2496,
2017-03-28,0.0,20.0,3,15.0,2401,
2016-03-28,0.0,20.0,1,15.0,2477,
2015-03-26,0.55,16.8,1,12.0,2076,
2014-03-26,0.0,0.0,1,10.0,2087,
2013-03-26,0.3,20.0,3,0.0,2126,
2012-03-27,0.75,12.0,3,0.0,1474,
2011-03-28,0.0,0.0,1,0.0,859,
