date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.2,40.8,1,120.0,5070,
2024-03-27,0.0,0.0,3,100.0,7920,
2023-03-29,0.0,54.4,3,90.0,6740,
2022-03-29,0.0,44.0,1,65.0,5500,
2021-03-29,0.0,0.0,1,65.0,6900,
2020-03-27,0.1,80.0,1,40.0,5000,注意
2019-03-26,11.4,57.6,3,125.0,7180,
2018-03-27,0.0,0.0,3,125.0,9650,注意
2017-03-28,0.15,139.2,3,100.0,8680,注意
2016-03-28,21.6,21.6,1,30.0,2617,
2015-03-26,0.0,0.0,1,15.0,817,
2014-03-26,0.0,0.0,1,12.5,631,
2013-03-26,0.0,0.0,3,0.0,494,
2012-03-27,0.0,0.0,3,0.0,586,
2011-03-28,0.0,0.0,1,0.0,880,
