date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,100.0,5480,
2024-03-27,0.0,0.0,3,80.0,5710,
2023-03-29,0.0,0.0,3,50.0,5280,
2022-03-29,0.0,0.0,1,50.0,4640,
2021-03-29,0.0,0.0,1,50.0,4350,
2020-03-27,0.0,0.0,1,50.0,3815,
2019-03-26,0.0,0.0,3,70.0,4430,
2018-03-27,0.0,0.0,3,70.0,4465,
2017-03-28,0.0,0.0,3,5.0,375,
2016-03-28,0.0,0.0,1,5.0,320,
2015-03-26,0.0,0.0,1,3.0,272,
2014-03-26,0.0,0.0,1,3.0,238,
2013-03-26,0.0,0.0,3,0.0,240,
2012-03-27,0.0,0.0,3,0.0,166,
2011-03-28,0.0,0.0,1,0.0,140,
