date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,37.5,1608,
2024-03-27,0.0,0.0,3,37.5,1676,
2023-03-29,0.0,11.2,3,37.5,1359,
2022-03-29,0.0,0.0,1,37.5,1348,
2021-03-29,0.0,4.0,1,3.0,144,
2020-03-27,0.0,4.0,1,3.0,115,
2019-03-26,0.0,0.0,3,3.0,136,
2018-03-27,0.0,0.0,3,3.0,195,
2017-03-28,0.0,4.0,3,3.0,211,
2016-03-28,0.0,0.0,1,6.0,187,
2015-03-26,0.0,0.0,1,5.0,228,
2014-03-26,0.0,0.0,1,5.0,189,
2013-03-26,0.0,0.0,3,0.0,237,
2012-03-27,0.0,0.0,3,0.0,236,
2011-03-28,0.0,6.0,1,0.0,236,
