date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,3.15,15.2,1,20.0,1825,
2025-03-27,1.35,11.2,1,60.0,1328,
2024-09-26,1.2,10.4,1,15.0,1237,
2024-03-27,0.9,9.6,3,37.0,1171,
2023-09-27,1.2,8.8,3,13.0,1051,
2023-03-29,0.0,7.2,3,13.0,845,
2022-09-28,1.2,6.4,3,7.0,706,
2022-03-29,0.75,4.8,1,5.0,594,
2021-09-28,0.1,6.4,1,5.0,733,
2021-03-29,0.0,0.0,1,0.0,617,
2020-09-28,0.55,4.8,1,10.0,572,
2020-03-27,0.05,7.2,1,23.0,816,
2019-09-26,3.55,9.6,1,23.0,1132,
2019-03-26,1.95,10.4,3,31.0,1228,
2018-09-25,3.75,12.8,3,29.0,1581,
2018-03-27,0.0,13.6,3,22.0,1628,
2017-09-26,3.3,12.0,3,22.0,1461,
2017-03-28,2.4,11.2,3,22.0,1363,
2016-09-27,3.3,9.6,3,21.0,1176,
2016-03-28,0.05,12.0,1,20.0,1411,
2015-09-25,0.0,12.0,1,20.0,1490,
2015-03-26,0.0,0.0,1,18.0,1667,
2014-09-25,0.0,0.0,1,18.0,1310,
2014-03-26,0.0,0.0,1,18.0,1435,
2013-09-25,2.25,28.0,1,30.0,3495,
2013-03-26,0.0,0.0,3,0.0,2405,
2012-09-25,1.65,16.0,3,0.0,1686,
2012-03-27,1.2,16.0,3,0.0,1529,
2011-09-27,0.3,12.0,3,0.0,1131,
2011-03-28,0.05,12.0,1,0.0,1212,
