date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,46.0,2195,
2024-03-27,1.8,16.0,3,38.0,1998,
2023-03-29,0.0,15.2,3,35.0,1867,
2022-03-29,1.85,15.2,1,12.0,1845,
2021-03-29,0.05,16.0,1,0.0,1977,
2020-03-27,1.55,14.4,1,61.0,1799,
2019-03-26,2.4,30.4,3,60.0,3785,
2018-03-27,3.45,32.8,3,58.0,4005,
2017-03-28,6.0,27.2,3,58.0,3315,
2016-03-28,0.0,40.0,1,58.0,4940,
2015-03-26,0.0,29.6,1,58.0,3645,
2014-03-26,3.0,32.0,1,47.0,3745,
2013-03-26,0.0,0.0,3,0.0,3190,
2012-03-27,0.0,0.0,3,0.0,1707,
2011-03-28,0.0,0.0,1,0.0,1115,
