date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-08-27,0.0,0.0,3,0.0,425,
2025-02-26,24.0,8.0,3,0.0,236,停止
2024-08-28,24.0,8.0,3,0.0,380,停止
2024-02-27,8.0,8.0,1,0.0,370,注意
2023-08-29,8.0,8.0,1,0.0,391,停止
2023-02-24,8.0,8.0,1,0.0,380,注意
2022-08-29,8.0,8.0,1,0.0,397,注意
2022-02-24,8.0,8.0,1,0.0,395,注意
2021-08-27,8.0,8.0,1,0.0,401,注意
2021-02-24,1.5,8.0,3,0.0,401,注意
2020-08-27,8.0,8.0,1,0.0,391,注意
2020-02-26,14.1,4.8,3,10.0,590,
2019-08-28,13.5,5.6,3,0.0,633,
2019-02-25,12.8,12.8,1,10.0,721,注意
2018-08-28,36.0,14.4,3,0.0,898,注意
2018-02-23,16.0,16.0,1,20.0,982,注意
2017-08-28,0.05,8.0,1,20.0,903,
2017-02-23,8.0,8.0,1,20.0,938,
2016-08-26,0.05,6.4,1,20.0,763,
2016-02-24,7.2,7.2,1,20.0,850,
2015-08-26,0.0,0.0,1,20.0,899,
2015-02-24,26.4,8.8,3,20.0,1013,
2014-08-26,2.1,8.0,3,20.0,948,
2014-02-25,24.0,8.0,3,20.0,996,
2013-08-27,0.0,0.0,3,20.0,923,
2013-02-25,0.0,0.0,1,0.0,865,
2012-08-28,0.0,0.0,3,0.0,597,
2012-02-24,0.0,0.0,1,0.0,447,
2011-08-26,0.0,0.0,1,0.0,320,
2011-02-23,0.0,0.0,1,0.0,412,
