date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,4.75,25.6,1,30.0,3159,
2025-03-27,3.95,27.2,1,25.0,3370,
2024-09-26,2.0,28.8,1,25.0,3568,
2024-03-27,2.85,37.6,3,50.0,4658,
2023-09-27,0.3,35.2,3,0.0,4356,
2023-03-29,7.05,35.2,3,50.0,4335,
2022-09-28,0.45,37.6,3,0.0,4680,
2022-03-29,3.85,28.8,1,25.0,3525,
2021-09-28,0.0,30.4,1,0.0,3735,
2021-03-29,0.1,36.0,1,0.0,4500,
2020-09-28,0.1,38.4,1,0.0,4735,
2020-03-27,8.0,44.8,1,50.0,5580,
2019-09-26,0.1,47.2,1,0.0,5850,
2019-03-26,4.65,42.4,3,50.0,5270,
2018-09-25,0.3,36.8,3,0.0,4530,
2018-03-27,7.95,34.4,3,50.0,4230,
2017-09-26,0.15,4.0,3,0.0,431,
2017-03-28,0.9,4.0,3,5.0,422,
2016-09-27,0.15,4.0,3,0.0,442,
2016-03-28,0.8,4.0,1,5.0,475,
2015-09-25,0.0,4.0,1,0.0,432,
2015-03-26,0.05,4.0,1,5.0,477,
2014-09-25,0.05,4.0,1,0.0,377,
2014-03-26,0.8,12.0,1,5.0,362,
2013-09-25,0.05,12.0,1,0.0,375,
2013-03-26,0.45,6.0,3,0.0,456,
2012-09-25,0.6,6.0,3,0.0,314,
2012-03-27,0.15,12.0,3,0.0,325,
2011-09-27,0.15,12.0,3,0.0,321,
2011-03-28,0.4,12.0,1,0.0,275,
