date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.2,42.4,1,60.0,5237,
2024-03-27,0.0,0.0,3,50.0,2903,
2023-03-29,0.0,0.0,3,179.0,8637,
2022-03-29,19.95,76.8,1,188.0,9570,
2021-03-29,0.0,64.8,1,91.0,8089,
2020-03-27,4.1,44.8,1,112.0,5592,
2019-03-26,0.15,42.4,3,127.0,5250,
2018-03-27,0.0,0.0,3,111.0,3500,
2017-03-28,1.65,28.0,3,70.0,3485,
2016-03-28,0.1,20.0,1,40.0,2462,
2015-03-26,0.0,0.0,1,50.0,2289,
2014-03-26,0.1,20.0,1,23.0,2288,
2013-03-26,0.0,0.0,3,0.0,1668,
2012-03-27,0.0,0.0,3,0.0,1183,
2011-03-28,0.05,8.0,1,0.0,903,
