date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,0.0,1,19.0,2295,
2024-03-27,0.0,0.0,3,17.0,1196,
2023-03-29,0.0,0.0,3,16.0,1082,
2022-03-29,0.0,0.0,1,40.0,2166,
2021-03-29,0.0,0.0,1,20.0,1706,
2020-03-27,0.0,0.0,1,20.0,1228,
2019-03-26,0.0,0.0,3,20.0,1189,
2018-03-27,0.0,0.0,3,15.0,2634,
2017-03-28,0.0,0.0,3,15.0,2274,
2016-03-28,0.0,0.0,1,15.0,1017,
2015-03-26,0.0,0.0,1,15.0,1046,
2014-03-26,0.0,0.0,1,15.0,890,
2013-03-26,0.0,0.0,3,0.0,1379,
2012-03-27,0.0,0.0,3,0.0,700,
2011-03-28,0.0,0.0,1,0.0,740,
