date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,2.0,19.2,1,0.0,1115,注意
2024-03-27,1.5,11.2,3,0.0,1352,
2023-03-29,0.15,8.8,3,0.0,1096,
2022-03-29,11.2,11.2,1,0.0,1314,
2021-03-29,0.1,14.4,1,0.0,1780,
2020-03-27,24.0,24.0,1,0.0,1462,注意
2019-03-26,1.65,41.6,3,10.0,2538,注意
2018-03-27,1.5,15.2,3,0.0,1900,
2017-03-28,30.0,14.4,3,10.0,1771,
2016-03-28,13.0,13.6,1,10.0,1603,
2015-03-26,9.0,13.6,1,10.0,1617,
2014-03-26,12.0,12.0,1,10.0,1362,
2013-03-26,36.0,12.0,3,0.0,1305,
2012-03-27,2.25,12.0,3,0.0,1292,
2011-03-28,12.0,12.0,1,0.0,1119,
