date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-09-26,0.0,0.0,1,15.3,820,
2025-03-27,0.0,0.0,1,25.2,755,
2024-09-26,0.0,0.0,1,15.1,619,
2024-03-27,0.0,0.0,3,15.0,906,
2023-09-27,0.0,0.0,3,8.0,587,
2023-03-29,0.0,0.0,3,7.9,489,
2022-09-28,0.0,4.0,3,7.8,454,
2022-03-29,0.0,0.0,1,7.7,674,
2021-09-28,0.0,4.8,1,7.6,588,
2021-03-29,0.0,0.0,1,7.5,874,
2020-09-28,0.0,4.0,1,4.5,270,
2020-03-27,0.05,4.0,1,3.2,179,
2019-09-26,0.0,4.0,1,2.7,326,
2019-03-26,0.0,4.0,3,2.7,400,
2018-09-25,0.0,4.8,3,2.7,549,
2018-03-27,0.0,0.0,3,6.3,339,
2017-09-26,0.15,4.0,3,3.7,304,
2017-03-28,0.0,4.0,3,2.6,279,
2016-09-27,0.0,0.0,3,2.6,241,
2016-03-28,0.0,0.0,1,2.6,311,
2015-09-25,0.0,0.0,1,7.0,307,
2015-03-26,0.0,0.0,1,7.0,323,
2014-09-25,0.0,0.0,1,1.2,307,
2014-03-26,0.0,0.0,1,7.0,404,
2013-09-25,0.0,0.0,1,1100.0,44300,
2013-03-26,0.0,0.0,3,0.0,38350,
2012-09-25,0.0,0.0,3,0.0,14800,
2012-03-27,0.0,0.0,3,0.0,19110,
2011-09-27,0.0,0.0,3,0.0,11950,
2011-03-28,0.0,0.0,1,0.0,19140,
